name,name,info,img,douban,imdb,rt_tm,rt_ad,related_fb_post
刑案偵訊室：英國,刑案偵訊室：英國,"
                                　　《審訊室》是一部帶有獨特前提背景的警察劇：場景限定在警察審訊室。這部情節簡單的劇集聚焦於警察和嫌疑犯之間激烈的內心攻防，上演了一系列貓鼠遊戲。
                        ",None,7.8,8.0,95%,95%,[]
獵魔士,獵魔士,"
                                　　《獵魔人》改編自暢銷的奇幻小說系列，講述了一個關於命運和家庭的史詩故事。利維亞的傑洛特是一名獨居的獵魔人，他努力在這個人類比野獸更邪惡的世界上尋得自己的一席之地。但命運將他推向一名強大的女術士和一位身上暗藏著危險祕密的年輕公主，他們三人必須學會共同在日益動盪的大陸中前行。
                        ",None,7.4,8.2,81%,81%,"[687646765583226, 687885242226045, 687945225553380, 688227125525190, 685102305837672, 685215409159695, 684980512516518, 685208439160392, 684937129187523, 685115209169715, 685740299107206, 685403022474267, 684911932523376, 685427019138534, 684908989190337, 685090372505532, 684915465856356, 686335315714371, 687238535624049, 684900899191146, 685115425836360, 684908352523734, 685037795844123, 684908115857091, 685566779124558, 684905239190712, 685103299170906, 684900339191202, 687193875628515, 684944655853437, 685468532467716, 685773169103919, 685087815839121, 685440289137207, 684907772523792, 685080712506498, 684934242521145, 685471559134080, 685079129173323, 685063885841514, 684899322524637, 685057459175490, 684904029190833, 685640819117154, 685100482504521, 685232019158034, 684900109191225, 684904925857410, 685228125825090, 684969822517587, 684934365854466, 685434475804455, 685052412509328, 684988255849077, 685619239119312, 685202109161025, 685090292505540, 684945289186707, 684917155856187, 685200535827849, 685129919168244, 685584722456097, 684923755855527, 685673255780577, 684916155856287, 686125422402027, 684956432518926, 685084112506158, 684933085854594, 684933515854551, 685027069178529, 684933802521189, 684960499185186, 685095165838386, 685197289161507, 685304095817493, 685167719164464, 684905192524050, 685304422484127, 684942949186941, 686266722387897, 684917055856197, 685107595837143, 685618322452737, 684934389187797]"
致命鑰匙,致命鑰匙,"
                                    　　在父親被離奇殺害後，洛克家的三個孩子和他們的母親搬到了祖宅“鑰匙房”。他們發現這間屋子裡有各種與父親之死有關的魔法鑰匙。洛克家的孩子們不斷探索這些不同的鑰匙及其獨特的魔力，而一個神祕的惡魔也醒來了，並會不惜一切代價將這些鑰匙偷走。這部成長題材的懸疑片由卡爾頓·庫斯（《迷失》《貝茨旅館》）和梅雷迪思·艾夫里爾（《鬼入侵》）打造，探討了愛、失去，以及家人之間不可撼動的羈絆。
                                        
                                    　　《致命鑰匙》是一部觀眾期待已久的 Netflix 劇集，翻拍自喬·希爾和加布裡埃爾·羅德里格斯為 IDW 公司創作的暢銷漫畫系列。
                                        
                                    　　《致命鑰匙》的主演包括：達比·斯坦奇菲爾德（《醜聞》）飾演妮娜·洛克、傑克遜·羅伯特·斯科特（《小丑回魂》）飾演伯德·洛克、康納·傑斯普（《美國重案》）飾演泰勒·洛克、艾米莉亞·瓊斯（《糟糕歷史大電影》） 飾演金賽·洛克、比爾·赫克（《巴斯特·斯克魯格斯...
                            ",https://upload.wikimedia.org/wikipedia/zh/thumb/9/95/Locke_%26_Key_%28TV_series%29_Title_Card.png/250px-Locke_%26_Key_%28TV_series%29_Title_Card.png,5.9,7.4,66%,66%,[]
紙牌屋,紙牌屋,"
                                　　經過數輪激烈角逐，新一屆美國總統加勒特·沃克（邁克·吉爾 Michael Gill 飾）誕生，自稱水管工的眾議院多數黨黨鞭弗蘭西斯·安德伍德（凱文·史派西 Kevin Spacey 飾）在其背後功不可沒。然而高傲自大的政客弗蘭西斯並未如願當上國務卿，他為此惱怒不已，發誓要將背叛了自己的沃克拉下寶座。利用新總統擬推的綜合教育改革法，弗蘭西斯操縱《華盛頓先驅報》女記者佐伊·巴恩斯（凱特·瑪拉 Kate Mara 飾）大做文章。初戰告捷，他旋即指派手下對新政府展開新的圍剿，同時巧妙化解躲避來自政敵的明槍暗箭。他猶如來自伊甸園的毒蛇，巧舌如簧，翻雲覆雨，緊緊咬住所有人的弱點，以實現自己的目的。“沒有永遠的敵人，只有永遠的利益”，這句話在弗蘭西斯身上得到最佳體現……
                                    
                                　　本片根據Michael Dobbs的同名政治小說改編。
                        ",None,9.3,8.7,Nothing,Nothing,"[688993598781876, 689027442111825, 689055385442364, 689057225442180, 689059415441961, 689061548775081, 689061738775062, 689062855441617, 689063008774935, 689063072108262, 689064038774832, 689064688774767, 689067932107776, 689068592107710, 689072432107326, 689072555440647, 689073852107184, 689076982106871, 689078258773410, 689080735439829, 689084085439494, 689086898772546, 689114712103098, 689125345435368, 689127865435116, 689128165435086, 689134835434419, 689135638767672, 689152062099363, 689153208765915]"
鐵杉樹叢,鐵杉樹叢,"
                                　　該系列劇基於Brian McGreevy的同名恐怖小說改編。
                                    
                                　　賓夕法尼亞州的一個鋼鐵小鎮上，一名年輕的女孩的屍體被發現拋棄在戈德弗雷家族的鍊鋼廠附近，由於警方時時不能破案，而17歲的吉普賽問題少年彼得·魯曼切克和戈德弗雷家族，奧莉薇·戈德弗雷（法米克·詹森 Famke Janssen 飾）的兒子羅曼·戈德弗雷（比爾·斯卡斯加德 Bill Skarsgård 飾）也成為嫌疑人。為了洗清嫌疑，彼得和羅曼兩人決定一同去調查，但是他們很快就發現了驚訝的事情......
                                    
                                　　凶手到底是誰？這個普通的鋼鐵小鎮到底隱藏著怎樣的祕密？
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/1/1d/Hemlock_Grove_season_1_poster.jpg/250px-Hemlock_Grove_season_1_poster.jpg,7.0,7.1,38%,38%,[]
勁爆女子監獄,勁爆女子監獄,"
                                　　十年前，帕波（泰勒·席林 Taylor Schilling 飾）大學畢業後結識了一名女毒販艾麗克斯（勞拉·普萊潘 Laura Prepon 飾），與她成為戀人並隨她環遊世界，後來在她要求下參加了一次運毒行動。時過境遷，帕波離開了艾麗克斯，過上正常生活。一天，她和未婚夫（賈森·比格斯 Jason Biggs 飾）被警方告知，十年前那樁販毒案被破獲，帕波遭到逮捕。帕波主動來到女子監獄服刑，為期15個月。面對監獄的新環境，初來乍到的帕波感到不知所措，糟糕的是她還不小心得罪了廚房負責人紅姨，遭到紅姨的報復。不僅如此，她還在監獄裡重遇了昔日女友艾麗克斯。
                                    
                                　　在這座聯邦女子監獄內，帕波遇到形形色色的女囚，第一次領略到“監獄文化”，她將要處理各種各樣的問題。儘管認識了一群性格坦率的女囚犯，但她的牢獄生活絕不會一帆風順……
                        ",https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Orange_is_the_new_Black.png/250px-Orange_is_the_new_Black.png,8.4,8.0,90%,90%,[]
馬可波羅,馬可波羅,"
                                　　因《紙牌屋》聲名鵲起的Netflix，確定涉中香豔動作宮鬥片《馬可波羅》首播日期確定為12月12號。講述宋元之間的權力之爭。陳沖、朱珠飾演蒙古王后/公主。《權利的遊戲》導演參與拍攝，整季投資六千萬美金，超過權力的遊戲首季，床戲尺度也是不輸權力遊戲....
                        ",None,6.0,8.0,33%,33%,[]
超感8人組,超感8人組,"
                                　　本劇由《黑客帝國》系列和《雲圖》導演沃卓斯基姐妹與《巴比倫5號》編劇、著名製作人J·邁克爾·斯特拉辛斯基共同監製此劇，講述來自不同城市的八位陌生人，不同身份，不同取向，因為某個神祕事件實現通感，不僅共享情感和思想，還能共享語言和技能。一方面，有個神祕人想將這八個人聚集在 一起；另一方面，一個神祕組織又使盡一切手段獵殺他們。他們必須齊心協力，殺出一條生路，找尋超感真相。
                                    
                                　　影片八人組的成員包括《自由墜落》的德意志美男馬克思·雷邁特，《男孩戰爭》的美利堅帥哥布萊恩·J·史密斯，《空乘情人》的西班牙型男米格爾·安格·希爾維斯特，《木星上行》和《星圖》的韓國女演員裴鬥娜等實力演員。
                                    
                                　　劇集已於當地時間6月5日在Netflix放出整季，並引發討論熱潮，成為現象級的熱門科幻劇集。
                        ",https://upload.wikimedia.org/wikipedia/commons/thumb/8/8a/Sense8_Title.png/250px-Sense8_Title.png,8.9,8.3,Nothing,Nothing,[]
血脈,血脈,"
                                    　　人物簡介：
                                        
                                    　　NUM 、KOB都出身於大戶人家，家裡都有大大的房子和成群的僕人，KOB的家是做黃金飾品製作的商賈之家。家庭成員有：奶奶（奶奶很受人尊敬），爸爸、一個姐姐和一個哥哥、KOB。NUM出身將門，家庭成員：爸爸、媽媽、一個哥哥，NUM 和一個妹妹 。KOB的姐姐在故事一開始就嫁給了NUM的哥哥，幾年後長大了的KOB也嫁給了NUM。NUM的妹妹則嫁給了一個壞人（就是這部戲裡的反面角色）。
                                        
                                    　　劇情簡介：
                                        
                                    　　故事一開始,KOB還是一個小女孩，NUM則是一個英武的少年。NUM的父親是軍隊高級軍官，而NUM和哥哥、KOB的哥哥，還有那個壞妹夫也是軍官。小KOB很喜歡NUM哥哥，而NUM也把這個聰明漂亮的小妹妹當親妹妹看待。無戰事時，NUM喜歡帶KOB去瀏覽泰國美好的建築。戰爭爆發了，NUM和父親、哥哥及KOB的哥哥去打仗了。在這場戰爭中因為軍隊上層的指揮失誤...
                            ",None,8.9,7.9,Nothing,Nothing,[]
夜魔俠,夜魔俠,"
                                　　《夜魔俠》是漫威首個在Netflix推出的電視劇，第一季共十三集。夜魔俠原名馬修·默多克，雖然雙目失明，但擁有超強的聽覺和觸覺，以及後天學習的格鬥技術。他平時是一個律師，夜晚戴上面具後在紐約街頭打擊犯罪。
                        ",None,8.4,8.6,Nothing,Nothing,[]
毒梟,毒梟,"
                                　　埃斯科瓦爾（瓦格納·馬拉 Wagner Moura 飾）曾是一個走私商人，機緣巧合之下開始接觸毒品生意，野心勃勃的他將無法計數的毒品販賣到美國，成為了富可敵國的大毒梟。與此同時，他集結了圈內幾大巨頭，成立了聲名顯赫的麥德林集團，一時間，埃斯科瓦爾的勁頭無人能敵。
                                    
                                　　墨菲（波伊德·霍布魯克 Boyd Holbrook 飾）是美國緝毒局派往哥倫比亞的警探，他和搭檔潘那（佩德羅·帕斯卡 Pedro Pascal 飾）合作，主要負責埃斯科瓦爾的案件。埃斯科瓦爾當上了議員，甚至決心競選總統，卻在國會當眾受辱。之後，哥倫比亞政府試圖啟用引渡法案對付毒梟們，為了對抗政府，埃斯科瓦爾徹底淪為了反社會的恐怖分子，在不斷壯大自己的毒品帝國的同時，用炸彈、暗殺和鮮血提醒著哥倫比亞政府，誰才是真正的老大。
                        ",None,9.3,8.8,89%,89%,[]
潔西卡·瓊斯,潔西卡·瓊斯,"
                                　　自從短暫的超級英雄生涯悲劇收場後，傑西卡·瓊斯成為了紐約地獄廚房地區暴躁、尖刻的私家偵探，開始重塑自己的生活和事業。但由於深受嚴重的創傷後應激障礙的影響，傑西卡需要對抗外壓、戰勝心魔，必要時還得用到她那非凡的能力……尤其當她的生命受到威脅時。
                        ",None,7.5,7.9,Nothing,Nothing,[]
盧克·凱奇,盧克·凱奇,"
                                　　劇集《盧克·凱奇》中，這位天賦異稟的角色在紐約市黑人聚集地哈萊姆區重拾生活的過程中，被迫與他所在城市的核心人物，也就是馬赫莎拉哈什巴茲·阿里飾演的Cornell Stokes展開鬥爭，而這一切都迫使他再度面對他想埋葬的過去。
                                    
                                　　盧克·凱奇這個角色首次出現在《傑西卡·瓊斯》之中，他是傑西卡·瓊斯的愛人。在劇集中，盧克受重傷在被傑西卡送到醫院時，遇到羅莎里奧·道森飾演的Claire Temple，Claire負責照顧盧克直到他清醒。而在《盧克·凱奇》中，觀眾將繼續看到羅莎里奧·道森的身影，而飾演傑西卡·瓊斯的克里斯滕·裡特將不會參演。
                        ",None,7.0,7.3,Nothing,Nothing,[]
先見之明,先見之明,"
                                　　一個女子神祕失蹤7年，回來之後，卻帶回了不屬於自身的記憶，可能是超自然現象。她表示自己並非失蹤，而是一直都在。
                        ",None,7.3,7.8,88%,88%,[]
波特萊爾的冒險,波特萊爾的冒險,"
                                　　維奧萊特（瑪麗娜·維絲曼 Malina Weissman 飾）、克勞斯（路易斯·哈恩斯 Louis Hynes 飾）和桑尼是情同手足的三姐弟，維奧萊特滿腦袋都是古靈精怪的奇思妙想，克勞斯飽讀詩書能夠記得他看過的一切東西，桑尼雖然年幼，但擁有四顆雪白結實的門牙，戰鬥力不可小覷。
                                    
                                　　一場意外讓三姐弟成為了無家可歸的孤兒，為了替自己找到一個可靠的新家，三人踏上了旅途。遠房親戚奧拉夫伯爵（尼爾·帕特里克·哈里斯 Neil Patrick Harris 飾）收養了三人，但很快，維奧萊特便發現，奧拉夫真正想要的，其實是他們的父親留下的鉅額遺產。為此，邪惡的奧拉夫甚至一手策劃了一場車禍，企圖將三個孩子置於死地。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/c/cb/A_Series_Of_Unfortunate_Events_poster.jpg/220px-A_Series_Of_Unfortunate_Events_poster.jpg,7.7,6.8,72%,72%,[]
鐵拳俠,鐵拳俠,"
                                　　《鐵拳》的故事靈感來自漫威同名漫畫原著。漫畫中的“鐵拳”丹尼·蘭德是一位受訓於神祕城市“崑崙”的武學大師，他從不朽巨龍Shou-Lao身上獲得神力，能夠將氣聚入雙拳無堅不摧。具有亞裔血統的科琳·溫則自幼居住在日本，習得武士的種種技能。一次行動中與蘭德相識，從此成為他打擊罪惡的得力幫手。
                                    
                                　　這部劇將由漫威、ABC與Netflix聯合打造，具體開播時間未定。隨著女主角人選公佈，製作方也發佈了一張概念圖以示慶祝。圖中的牆面上貼著的海報被撕去一半，殘餘的部分文字依稀可見，印著“防身武術教學班”“科琳溫大師”的字樣。
                        ",None,5.5,6.4,Nothing,Nothing,[]
捍衛者聯盟,捍衛者聯盟,"
                                　　《捍衛者聯盟》（英語：Marvel's The Defenders，或簡稱：The Defenders）是美國Netflix公司預定推出的一部基於漫威漫畫同名超能英雄隊伍的網絡迷你電視劇集，由Douglas Petrie及Marco Ramirez開發。該劇集設定於漫威電影宇宙中，和漫威電影宇宙系列電影劇情相連，是漫威電影宇宙電視劇系列的高潮。該迷你劇由漫威電視和ABC Studios共同製作，Ramirez負責統籌。
                                    
                                　　故事發生在《夜魔俠》第二季故事幾個月後、以及《鐵拳俠》故事的一個月後，居住在紐約各處的義警—夜魔俠、潔西卡·瓊斯、盧克·凱奇和鐵拳俠開始聯合起來，組成一個超能英雄團隊來對抗手合會這迎面而來的惡勢力。
                        ",None,6.8,7.3,Nothing,Nothing,[]
制裁者,制裁者,"
                                　　《懲罰者》（Marvel's The Punisher，或簡稱：The Punisher）是漫威電視聯合ABC電視臺為NetFlix打造的真人超級英雄劇集，改編自漫威同名漫畫，是漫威電影宇宙的一部分，也是《超膽俠》的衍生劇，由安迪·戈達德等人執導，喬·博恩瑟、本·巴恩斯、愛波·莫斯-巴克拉赫、艾波·羅絲·雷瓦等主演。
                                    
                                　　講述卡斯特成為“懲罰者”前是美國海軍陸戰隊的戰術狙擊手，後因家人被殘忍殺害而開始以暴制暴、對抗黑暗勢力。
                        ",None,8.7,8.5,64%,64%,[]
潮灘秘語,潮灘秘語,"
                                　　Netflix首部原創澳洲劇集《魚妖怪談》(Tidelands)發佈預告，埃爾莎·帕塔奇、夏洛特·貝斯特(《青春旋律》)、阿隆·賈庫本科(《莎拉娜傳奇》)、彼得·奧布萊恩(《美女摔角聯盟》)、瑪德琳·麥登(《愛探險的朵拉》)等參演，12月14日上線。
                                    
                                　　講述一個前罪犯返回家鄉的小漁村奧弗林灣，當一名當地漁民的屍體被衝上海岸後，她對鎮上奇怪的居民——被稱為Tidelanders的半人半妖生物——展開調查，揭開這個小鎮的祕密。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/3/3c/Tidelands_poster.jpg/220px-Tidelands_poster.jpg,5.9,6.9,77%,77%,[]
移心病,移心病,"
                                　　年輕女子在心臟病發作後活了下來，並一心想要了解這顆救命心臟背後的祕密。然而，隨著她慢慢揭開捐贈者猝死的真相，她也越來越多地呈現出死者的特徵，甚至包括一些難以理解的邪惡品性。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/6/6b/Chambers_poster.jpg/250px-Chambers_poster.jpg,6.6,6.5,97%,97%,[]
難，置信,難，置信,"
                                    　　少女瑪麗·阿德勒（凱特琳·德弗飾演）報警說自己在家中被一名闖入者強姦，但調查人 員以及她身邊的人都懷疑這件事的真實性。與此同時，在數百里外，偵探格雷絲·拉斯馬森 和卡倫·杜瓦爾（分別由艾美獎獲得者託妮·科萊特和梅里特·韋弗飾演）在調查兩起非常 相似的強姦案時相遇，她們合力追捕這名潛藏的連環強姦犯。
                                        
                                    　　《難以置信》改編自 The Marshall Project 和 ProPublica 出版的普利策獎獲獎文章《令人難以置信的強姦事件（An Unbelievable Story of Rape）》（作者是 T·克里斯琴·米勒和肯·阿姆斯特朗），以及美國生活（This American Life）廣播劇集《Anatomy of Doubt》。本劇由榮獲奧斯卡提名的蘇珊娜·格蘭特 和麗莎·查羅登科執導，講述了難以言表的創傷、堅定的決心和驚人的適應能力。
                                        
                                    　　本劇...
                            ",None,9.2,8.4,98%,98%,[]
吸血鬼戰爭,吸血鬼戰爭,"
                                　　盧瑟·斯旺醫生（伊恩·薩默海爾德飾）進入了一個極度恐怖的世界，一種神祕的疾病把他最好的朋友邁克爾·費恩（艾德里安·霍姆斯飾）變成了以其他人類為食的凶殘掠食者。隨著疾病的擴散，越來越多的人發生變異，社會分裂成兩個對立的陣營，使得正常人類要對抗越來越多的“吸血鬼”。斯旺與時間賽跑，以試圖弄清事情的前因後果，而費恩則逐漸崛起，成為吸血鬼一派強大的地下領袖。
                        ",https://upload.wikimedia.org/wikipedia/zh/thumb/d/d8/V_Wars_TV_Poster.jpg/220px-V_Wars_TV_Poster.jpg,5.5,8.4,56%,56%,[]
现代弥赛亚,现代弥赛亚,"
                                    　　中央情報局官員艾娃·蓋勒（米歇爾·莫納漢飾）發現一名男子（麥赫迪·德比飾）通過擾亂公眾秩序而獲得國際關注，於是她開始調查這名男子的身份。隨著他吸引越來越多的認為他在創造奇蹟的追隨者，全球媒體越來越痴迷於這位魅力非凡的人物。蓋勒必須儘快解開這個謎：他究竟是上帝派來的聖人，還是一個能夠瓦解世界地緣政治秩序的騙子。隨著故事的展開，多種視角交織在一起，其中包括一名以色列情報官員（託莫·希思黎飾）、一名德克薩斯州傳教士（約翰·奧提茲飾）和他的女兒（斯蒂芬妮婭·歐文飾）、一名巴勒斯坦難民（賽義德·埃爾·阿拉米飾）和報道該故事的記者（簡·亞當斯飾）。梅琳達·佩吉·漢密爾頓、維爾·特拉維爾、法里斯·蘭杜勒西、德蒙特·莫羅尼和博·布里奇斯也參演了該劇集。
                                        
                                    　　Netflix 原創劇集《現代彌賽亞》由邁克爾·彼得羅尼（《偷書賊》）擔任創劇人，詹姆斯·麥克特格（《V 字仇殺隊...
                            ",https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/Title_screen_for_Messiah.png/250px-Title_screen_for_Messiah.png,8.0,7.6,46%,46%,[]
烏鴉足球隊,烏鴉足球隊,"
                                　　一對兄妹彼此競爭來決定誰能繼承足球隊。這部系列劇由《我們是貴族》的創劇人傾力打造。
                        ",None,7.6,8.2,90%,90%,[]
內衣白領風雲,內衣白領風雲,"
                                　　女演員桐谷美玲日前確定將主演富士電視臺與美國Netflix合作的第一部原創劇《Underwear》，該劇將由秋季起在日本國內、世界50個國家和地區同步播放。
                                    
                                　　該劇講述了大學時代研究纖維布料的宅女在東京銀座的高級內衣製造商就職後逐漸成長的的故事。富士電視臺方面的製作人關口大輔表示啟用桐谷美玲的原因為是她能夠表現出日本現代女性的颯爽之美，同時能夠很好地演繹出成長過程中的苦惱。
                        ",None,6.4,Nothing,Nothing,Nothing,[]
